debemos
*deber	deber,deberes
generar
*género	género,genero,géneros,generos
*generación	generación,generacion,generaciones
ciudadanía	ciudadana,ciudadanas,ciudadano,ciudadanos,ciudadanía
chilenos	chilena,chilenas,chileno,chilenos
nacional	nacional,nacionales,nacionalidad,naciones,nación
chile	chile
derechos	derechos,derecho
derecha	derecha
constitución	constitucional,constitucionales,constitucionalmente,constitucionario,constitución
respeto	respeta,respetada,respetadas,respetados,respetando,respetar,respetarla,respetarlas,respetarnos,respete,respeten,respeto
personas	persona,personal,personales,personas
ser	ser,seres,seria,serie,serio,será,serán,sería
protección	protección,protege,proteger,protegerlos,protegida,protegidos,protegiendo
comunidad	comuna,comunas,comunes,comunidad,comunidades,común
participación	participación,participado,participan,participar,participativa,participativo,participativos,participe,participen
más	más
social	social,sociales
igualdad	igualdad
responsabilidades	responsabilidad,responsabilidades,responsable,responsables
política	política,políticamente,políticas,político,políticos
principios	principal,principales,principalmente,principio,principios
leyes	ley,leyes
valorar	valor,valorada,valoramos,valores
desarrollo	desarrolla,desarrollado,desarrollar,desarrollarse,desarrolle,desarrollo,desarrollándose
sociedad	sociedad
región	regional,regionales,regiones,región
democracia	democracia,democratización,democrática,democráticamente,democráticas,democrático,democráticos
humanidad	humana,humanas,humanidad,humano,humanos
gobierno	gobierno,gobiernos
país	país
considerar	considera,consideración,considerada,consideradas,considerado,considerados,consideramos,consideran,considerando,considerar,considerarlo,consideraron,considerarse,considere,consideren,consideró
todas	toda,todas,todosas
poder	podemos,poder
salud	salud,saludable
fundamental	fundamental,fundamentales,fundamentalismos,fundamentos
educación	educación,educar,educarse,educativas,educativo,educativos
público	publicidad,pública,públicas,público,públicos
formación	forma,formación,forman,formando,formar,formas
cultura	cultura,cultural,culturales,culturalmente,culturas
garantizar	garante,garantiza,garantizada,garantizado,garantizados,garantizan,garantizando,garantizar,garantizándola,garantizándole,garantía,garantías
libertad	libertad
naturaleza	naturaleza
instituciones	instituciones,instituido
conservación	conservación,conservar,conservarla
pueblo	pueblo,pueblos
necesidades	necesaria,necesariamente,necesarias,necesario,necesarios,necesidad,necesidades
cada	cada
acceso	accesibles,acceso
pueden	pueda,puedan,puede,pueden
permitir	permita,permitan,permite,permitido,permitiendo,permitir,permitirle
medidas	media,medida,medidas,medio,medios
bienes	bien,bienes
vida	vida,vidas
histórico	historia,historica,histórica,históricas,histórico
hacer	hace,hacen,hacer,hacerlo,hacerse,hacia,haciendo,hacía
decisiones	decisiones,decisión
autonomía	autonomía,autonomías,autónoma,autónomo
vivir	vivan,vive,viven,vivieron,vivimos,vivir,vivos
justicia	justicia
cumplimientos	cumplimiento,cumplimientos
ambiental	ambiental,ambientales,ambiente
tomar	toma,tomada,tomado,tomamos,toman,tomando,tomar,tomas,tomen,tomó
iguales	igual,igualar,iguales,igualmente
calidad	calidad
tener	tener
también	también
servicios	servicio,servicios
